"aqi_id","city","state","region","country","latitude","longitude","timestamp","aqius","mainus","aqicn","maincn","temperature","pressure","humidity","wind_speed","wind_direction"
1503,Bang Rak,Bangkok,Central,Thailand,100.523635,13.725751,2025-03-28 04:00:00.000,124,p2,63,p2,33.00,1008,36,1.58,212
1504,Bang Sue,Bangkok,Central,Thailand,100.539305,13.844613,2025-03-28 04:00:00.000,112,p2,56,p2,33.00,1008,32,4.12,270
1505,Bangkok,Bangkok,Central,Thailand,100.488839,13.729292,2025-03-28 04:00:00.000,114,p2,64,p1,33.00,1008,36,1.44,219
1506,Bangkok Yai,Bangkok,Central,Thailand,100.476000,13.723190,2025-03-28 04:00:00.000,137,p2,69,p2,33.00,1008,34,1.35,226
1507,Chatuchak,Bangkok,Central,Thailand,100.573562,13.819948,2025-03-28 04:00:00.000,126,p2,63,p2,33.00,1008,34,1.31,223
1508,Chom Thong,Bangkok,Central,Thailand,100.484070,13.677170,2025-03-28 04:00:00.000,102,p2,51,p2,33.00,1008,37,1.73,210
1509,Din Daeng,Bangkok,Central,Thailand,100.552990,13.769940,2025-03-28 04:00:00.000,115,p2,76,p1,33.00,1008,35,4.12,270
1510,Don Mueang,Bangkok,Central,Thailand,100.589940,13.913920,2025-03-28 04:00:00.000,134,p2,67,p2,33.00,1008,33,1.79,221
1511,Huai Khwang,Bangkok,Central,Thailand,100.568928,13.775373,2025-03-28 04:00:00.000,106,p2,62,p1,33.00,1008,35,4.12,270
1512,Khan Na Yao,Bangkok,Central,Thailand,100.679330,13.826090,2025-03-28 04:00:00.000,124,p2,66,p1,33.00,1008,37,2.57,300
1513,Khlong Sam Wa,Bangkok,Central,Thailand,100.735240,13.836160,2025-03-28 04:00:00.000,129,p2,65,p2,33.00,1008,37,2.57,300
1514,Khlong San,Bangkok,Central,Thailand,100.509030,13.730860,2025-03-28 04:00:00.000,119,p2,60,p2,33.00,1008,36,1.44,219
1515,Lat Phrao,Bangkok,Central,Thailand,100.607490,13.803490,2025-03-28 03:00:00.000,126,p2,63,p2,33.00,1008,35,1.55,213
1516,Nong Khaem,Bangkok,Central,Thailand,100.349230,13.705280,2025-03-28 04:00:00.000,112,p2,56,p2,34.00,1008,31,1.42,240
1517,Pathum Wan,Bangkok,Central,Thailand,100.536494,13.729830,2025-03-28 04:00:00.000,110,p2,55,p2,33.00,1008,36,1.58,212
1518,Phaya Thai,Bangkok,Central,Thailand,100.537798,13.780444,2025-03-28 04:00:00.000,132,p2,66,p2,33.00,1008,34,1.22,228
1519,Phra Khanong,Bangkok,Central,Thailand,100.592237,13.711755,2025-03-28 04:00:00.000,115,p2,58,p2,33.00,1008,38,2.57,280
1520,Phra Nakhon,Bangkok,Central,Thailand,100.498640,13.765120,2025-03-28 03:00:00.000,135,p2,68,p2,33.00,1008,34,1.24,229
1521,Ratchathewi,Bangkok,Central,Thailand,100.533580,13.759000,2025-03-28 04:00:00.000,119,p2,63,p1,33.00,1008,35,1.35,220
1522,Sai Mai,Bangkok,Central,Thailand,100.653488,13.963311,2025-03-28 03:00:00.000,138,p2,69,p2,32.00,1008,35,0.89,204
1523,Samphanthawong,Bangkok,Central,Thailand,100.505737,13.741377,2025-03-28 04:00:00.000,134,p2,67,p2,33.00,1008,34,1.24,229
1524,Saphan Sung,Bangkok,Central,Thailand,100.686737,13.762077,2025-03-28 04:00:00.000,112,p2,56,p2,33.00,1008,38,2.57,280
1525,Sathon,Bangkok,Central,Thailand,100.542945,13.707865,2025-03-28 04:00:00.000,120,p2,61,p2,33.00,1008,36,1.58,212
1526,Taling Chan,Bangkok,Central,Thailand,100.437792,13.787506,2025-03-28 04:00:00.000,117,p2,59,p2,34.00,1008,31,1.28,252
1527,Thawi Watthana,Bangkok,Central,Thailand,100.402498,13.796597,2025-03-28 04:00:00.000,102,p2,51,p2,34.00,1008,30,1.42,254
1528,Thung Khru,Bangkok,Central,Thailand,100.509640,13.628750,2025-03-28 04:00:00.000,137,p2,69,p2,33.00,1008,40,2.49,199
1529,Wang Thonglang,Bangkok,Central,Thailand,100.611650,13.785460,2025-03-28 04:00:00.000,116,p2,58,p2,33.00,1008,36,2.57,280
1530,Watthana,Bangkok,Central,Thailand,100.577689,13.725831,2025-03-28 04:00:00.000,104,p2,58,p1,33.00,1008,37,2.57,300
1531,Buri Ram,Buriram,Northeast,Thailand,103.103920,14.994330,2025-03-28 03:00:00.000,103,p2,52,p2,33.00,1008,42,3.97,210
1532,Chamni,Buriram,Northeast,Thailand,102.822770,14.786290,2025-03-28 04:00:00.000,103,p2,52,p2,32.00,1008,50,3.54,207
1533,Lam Plai Mat,Buriram,Northeast,Thailand,102.838940,15.025200,2025-03-28 04:00:00.000,102,p2,51,p2,33.00,1008,47,3.84,206
1534,Nang Rong,Buriram,Northeast,Thailand,102.791380,14.637700,2025-03-28 04:00:00.000,99,p2,50,p2,32.00,1008,50,3.40,202
1535,Nong Ki,Buriram,Northeast,Thailand,102.538000,14.686790,2025-03-28 04:00:00.000,144,p2,73,p2,32.00,1008,60,2.47,194
1536,Ban Pho,Chachoengsao,East,Thailand,101.079560,13.598640,2025-03-28 04:00:00.000,127,p2,64,p2,34.00,1008,41,4.67,228
1537,Bang Pakong,Chachoengsao,East,Thailand,100.993330,13.542970,2025-03-28 04:00:00.000,134,p2,67,p2,34.00,1008,42,4.71,228
1538,Chachoengsao,Chachoengsao,East,Thailand,101.309074,13.551874,2025-03-28 04:00:00.000,145,p2,73,p2,34.00,1007,42,4.07,214
1539,Plaeng Yao,Chachoengsao,East,Thailand,101.284030,13.584670,2025-03-28 03:00:00.000,96,p2,76,p1,34.00,1007,41,4.06,218
1540,Chai Nat,Chai Nat,Central,Thailand,100.123530,15.186360,2025-03-28 03:00:00.000,111,p2,56,p2,33.00,1008,24,1.05,226
1541,Chaiyaphum,Chaiyaphum,Northeast,Thailand,102.028810,15.810470,2025-03-28 03:00:00.000,138,p2,69,p2,33.00,1008,37,4.42,237
1542,Chatturat,Chaiyaphum,Northeast,Thailand,101.845470,15.565420,2025-03-28 04:00:00.000,139,p2,70,p2,33.00,1008,42,4.23,243
1543,Si Wichian,Changwat Ubon Ratchathani,Northeast,Thailand,105.023800,14.466630,2025-03-28 04:00:00.000,164,p2,98,p2,35.00,1008,35,3.43,183
1544,Ubon Ratchathani,Changwat Ubon Ratchathani,Northeast,Thailand,105.012324,14.488349,2025-03-28 03:00:00.000,204,p2,169,p2,35.00,1008,35,3.61,185
1545,Chanthaburi,Chanthaburi,East,Thailand,102.104470,12.609610,2025-03-28 04:00:00.000,115,p2,58,p2,33.00,1009,54,3.51,207
1546,Ban Pong,Chiang Mai,North,Thailand,99.142850,19.389770,2025-03-28 04:00:00.000,164,p2,99,p2,29.00,1008,24,1.65,211
1547,Ban Waen,Chiang Mai,North,Thailand,98.940770,18.699240,2025-03-28 04:00:00.000,189,p2,144,p2,31.00,1008,21,1.89,162
1548,Chang Klan,Chiang Mai,North,Thailand,98.998750,18.776590,2025-03-28 04:00:00.000,209,p2,177,p2,31.00,1008,21,1.77,173
1549,Chang Moi,Chiang Mai,North,Thailand,98.998170,18.796170,2025-03-28 04:00:00.000,171,p2,112,p2,30.00,1008,21,1.84,167
1550,Chang Phueak,Chiang Mai,North,Thailand,98.959070,18.815030,2025-03-28 04:00:00.000,192,p2,149,p2,28.00,1008,21,2.11,151
1551,Chiang Dao,Chiang Mai,North,Thailand,98.968000,19.368000,2025-03-28 04:00:00.000,117,p2,59,p2,30.00,1008,22,2.07,152
1552,Chiang Mai,Chiang Mai,North,Thailand,98.964059,18.816766,2025-03-28 04:00:00.000,181,p2,129,p2,28.00,1008,21,2.15,147
1553,Doi Saket,Chiang Mai,North,Thailand,99.212720,18.923720,2025-03-28 04:00:00.000,186,p2,139,p2,30.00,1008,21,2.45,232
1554,Fa Ham,Chiang Mai,North,Thailand,99.009310,18.815620,2025-03-28 04:00:00.000,189,p2,143,p2,30.00,1008,21,1.84,167
1555,Hang Dong,Chiang Mai,North,Thailand,98.915190,18.704179,2025-03-28 04:00:00.000,173,p2,114,p2,31.00,1008,21,2.06,154
1556,Hot,Chiang Mai,North,Thailand,98.610390,18.193170,2025-03-28 04:00:00.000,171,p2,111,p2,32.00,1008,14,1.00,199
1557,Mae Hia,Chiang Mai,North,Thailand,98.936020,18.748650,2025-03-28 04:00:00.000,186,p2,138,p2,31.00,1008,21,1.98,158
1558,Mae On,Chiang Mai,North,Thailand,99.248610,18.776810,2025-03-28 04:00:00.000,180,p2,128,p2,30.00,1008,20,2.12,243
1559,Mae Rim,Chiang Mai,North,Thailand,98.952340,18.910330,2025-03-28 04:00:00.000,196,p2,156,p2,30.00,1008,21,2.21,140
1560,Nam Phrae,Chiang Mai,North,Thailand,98.862010,18.719180,2025-03-28 04:00:00.000,223,p2,197,p2,31.00,1008,20,2.34,143
1561,Nong Chom,Chiang Mai,North,Thailand,99.021300,18.853320,2025-03-28 04:00:00.000,185,p2,136,p2,31.00,1008,21,1.91,157
1562,San Kamphaeng,Chiang Mai,North,Thailand,99.119530,18.744860,2025-03-28 02:00:00.000,230,p2,205,p2,31.00,1008,20,1.72,229
1563,San Pa Tong,Chiang Mai,North,Thailand,98.895720,18.628280,2025-03-28 04:00:00.000,187,p2,140,p2,31.00,1008,20,1.99,153
1564,San Sai,Chiang Mai,North,Thailand,99.045080,18.847920,2025-03-28 04:00:00.000,187,p2,140,p2,30.00,1008,21,1.65,187
1565,Saraphi,Chiang Mai,North,Thailand,99.035280,18.714170,2025-03-28 04:00:00.000,177,p2,121,p2,31.00,1008,20,1.54,212
1566,Suthep,Chiang Mai,North,Thailand,98.922570,18.788750,2025-03-28 04:00:00.000,197,p2,159,p2,27.00,1008,21,2.18,149
1567,Talat Khwan,Chiang Mai,North,Thailand,99.087990,18.841030,2025-03-28 04:00:00.000,199,p2,162,p2,30.00,1008,21,1.66,202
1568,Tha Sala,Chiang Mai,North,Thailand,99.032750,18.770510,2025-03-28 04:00:00.000,170,p2,109,p2,31.00,1008,20,1.62,198
